queue->push(27622, 0);3000; ns
queue->pop();4800; ns
queue->pop();8400; ns
queue->pop();23300; ns
queue->push(31499, 4);1900; ns
queue->push(18013, 5);3100; ns
queue->push(28882, 6);3200; ns
queue->push(19623, 7);4100; ns
queue->pop();2900; ns
queue->push(11649, 9);2900; ns
queue->push(28261, 10);4400; ns
queue->push(12794, 11);3900; ns
queue->pop();2800; ns
queue->peek();1400; ns
queue->peek();1300; ns
queue->push(30413, 15);1800; ns
queue->peek();1300; ns
queue->peek();1200; ns
queue->push(15870, 18);3000; ns
queue->pop();2700; ns
queue->peek();1400; ns
queue->peek();1300; ns
queue->peek();1500; ns
queue->pop();3000; ns
queue->push(32500, 24);1900; ns
queue->peek();1300; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->pop();2400; ns
queue->push(27317, 29);1800; ns
queue->peek();1200; ns
queue->push(30010, 31);1500; ns
queue->pop();29500; ns
queue->push(2903, 33);4400; ns
queue->peek();1400; ns
queue->pop();2800; ns
queue->push(1194, 36);2900; ns
queue->peek();1400; ns
queue->peek();1200; ns
queue->pop();2600; ns
queue->peek();1200; ns
queue->push(13831, 41);2600; ns
queue->pop();2400; ns
queue->peek();1600; ns
queue->peek();1200; ns
queue->peek();1200; ns
queue->push(28404, 46);3600; ns
queue->peek();1100; ns
queue->peek();1200; ns
queue->pop();2800; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->push(16857, 52);2500; ns
queue->push(846, 53);3500; ns
queue->push(8846, 54);3500; ns
queue->pop();2500; ns
queue->push(2340, 56);2500; ns
queue->peek();1200; ns
queue->push(8826, 58);3600; ns
queue->push(1362, 59);3100; ns
queue->push(25246, 60);1500; ns
queue->peek();1200; ns
queue->push(29170, 62);1500; ns
queue->peek();1200; ns
queue->push(18757, 64);1600; ns
queue->pop();2400; ns
queue->pop();2200; ns
queue->push(15499, 67);1400; ns
queue->peek();1200; ns
queue->pop();2300; ns
queue->push(17834, 70);1400; ns
queue->push(16486, 71);1300; ns
queue->pop();53800; ns
queue->push(23495, 73);1400; ns
queue->push(17144, 74);3600; ns
queue->pop();2400; ns
queue->peek();1100; ns
queue->pop();2300; ns
queue->peek();1100; ns
queue->push(21792, 79);1400; ns
queue->pop();2200; ns
queue->push(26609, 81);1400; ns
queue->push(29757, 82);1400; ns
queue->push(1221, 83);2400; ns
queue->push(30439, 84);1400; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->push(17185, 87);1400; ns
queue->pop();2300; ns
queue->pop();61200; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->push(7582, 92);3300; ns
queue->push(17216, 93);3500; ns
queue->pop();2300; ns
queue->pop();2200; ns
queue->push(9124, 96);2400; ns
queue->push(3280, 97);2300; ns
queue->push(24889, 98);1500; ns
queue->pop();2300; ns
queue->pop();2100; ns
queue->push(22950, 101);1500; ns
queue->pop();2200; ns
queue->pop();62400; ns
queue->push(21708, 104);3500; ns
queue->push(17056, 105);3100; ns
queue->peek();1200; ns
queue->pop();2300; ns
queue->peek();1100; ns
queue->push(19900, 109);2500; ns
queue->push(7788, 110);3100; ns
queue->peek();1200; ns
queue->push(26311, 112);1500; ns
queue->peek();1100; ns
queue->pop();2300; ns
queue->push(639, 115);2300; ns
queue->peek();1200; ns
queue->push(463, 117);3300; ns
queue->pop();2300; ns
queue->pop();2200; ns
queue->pop();2100; ns
queue->peek();1200; ns
queue->pop();65500; ns
queue->push(29643, 123);1500; ns
queue->pop();2300; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->peek();1100; ns
queue->pop();2100; ns
queue->peek();1100; ns
queue->pop();55000; ns
queue->push(13587, 131);3300; ns
queue->pop();2300; ns
queue->pop();2200; ns
queue->pop();2000; ns
queue->pop();43100; ns
queue->push(28633, 136);3600; ns
queue->peek();1200; ns
queue->pop();2300; ns
queue->pop();2200; ns
queue->push(19492, 140);2300; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->pop();2300; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->push(3288, 147);2300; ns
queue->push(15574, 148);3800; ns
queue->push(8332, 149);3400; ns
queue->pop();2300; ns
queue->push(9429, 151);2600; ns
queue->peek();1200; ns
queue->push(13915, 153);4000; ns
queue->push(13769, 154);3500; ns
queue->pop();2500; ns
queue->peek();1200; ns
queue->push(12615, 157);2600; ns
queue->push(17694, 158);1400; ns
queue->pop();2300; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->pop();2100; ns
queue->push(2054, 163);2400; ns
queue->peek();1100; ns
queue->push(4950, 165);2500; ns
queue->push(28353, 166);1400; ns
queue->push(1945, 167);2300; ns
