queue->push(30582, 0);2200; ns
queue->pop();3300; ns
queue->peek();1300; ns
queue->pop();2500; ns
queue->push(22989, 4);1800; ns
queue->push(16316, 5);2700; ns
queue->peek();1300; ns
queue->peek();17200; ns
queue->pop();2600; ns
queue->push(21531, 9);2600; ns
queue->peek();1200; ns
queue->push(15310, 11);2500; ns
queue->peek();1200; ns
queue->push(7137, 13);3600; ns
queue->push(1884, 14);3600; ns
queue->pop();2600; ns
queue->pop();2300; ns
queue->push(30597, 17);1800; ns
queue->push(2536, 18);2700; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->pop();3700; ns
queue->push(28295, 23);1900; ns
queue->push(8188, 24);2800; ns
queue->pop();2500; ns
queue->push(29771, 26);1600; ns
queue->peek();1200; ns
queue->push(10075, 28);2500; ns
queue->push(8595, 29);2400; ns
queue->pop();2400; ns
queue->push(27155, 31);1400; ns
queue->pop();2300; ns
queue->pop();2200; ns
queue->pop();82000; ns
queue->push(31814, 35);1700; ns
queue->push(10618, 36);3400; ns
queue->push(1218, 37);3100; ns
queue->peek();1200; ns
queue->pop();3400; ns
queue->pop();16500; ns
queue->pop();2400; ns
queue->push(24863, 42);1800; ns
queue->peek();1300; ns
queue->pop();23900; ns
queue->peek();1200; ns
queue->push(25061, 46);3700; ns
queue->push(19974, 47);3200; ns
queue->push(16520, 48);3200; ns
queue->pop();2400; ns
queue->push(32430, 50);1500; ns
queue->pop();3300; ns
queue->pop();2500; ns
queue->push(25252, 53);3600; ns
queue->peek();1300; ns
queue->push(10203, 55);2700; ns
queue->push(8963, 56);2300; ns
queue->push(29939, 57);1400; ns
queue->pop();2400; ns
queue->pop();2100; ns
queue->push(21991, 60);2300; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->peek();1000; ns
queue->pop();28100; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->push(8410, 71);2400; ns
queue->pop();2200; ns
queue->peek();1200; ns
queue->pop();2200; ns
queue->push(29783, 75);1400; ns
queue->peek();1200; ns
queue->pop();2100; ns
queue->pop();18500; ns
queue->pop();2200; ns
queue->push(13717, 80);2300; ns
queue->push(28518, 81);3400; ns
queue->pop();2200; ns
queue->push(25702, 83);2300; ns
queue->pop();2200; ns
queue->push(20645, 85);2300; ns
queue->push(16648, 86);3100; ns
queue->pop();2100; ns
queue->pop();2100; ns
queue->pop();2100; ns
queue->pop();11700; ns
queue->pop();2200; ns
queue->push(9482, 92);2000; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->push(11134, 95);2200; ns
queue->pop();2100; ns
queue->push(12939, 97);2100; ns
queue->push(13309, 98);3300; ns
queue->pop();2200; ns
queue->push(20336, 100);2800; ns
queue->pop();2100; ns
queue->pop();2300; ns
queue->push(6931, 103);2300; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->push(19277, 106);2500; ns
queue->pop();2200; ns
queue->push(7984, 108);2300; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->push(9933, 112);3300; ns
queue->push(25465, 113);1400; ns
